year,openalex_id,title,source,cited_by_count,note,decision
1905,https://openalex.org/W4234027762,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1905,https://openalex.org/W4255369049,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1905,https://openalex.org/W4256351664,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1905,https://openalex.org/W4235276499,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1905,https://openalex.org/W4246515367,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1905,https://openalex.org/W4236292072,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1905,https://openalex.org/W4242883367,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1905,https://openalex.org/W4252818518,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1905,https://openalex.org/W4242746996,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1905,https://openalex.org/W4236895213,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1905,https://openalex.org/W4246626460,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1905,https://openalex.org/W4205426156,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1905,https://openalex.org/W4240831981,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1905,https://openalex.org/W4254723302,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1905,https://openalex.org/W4250053566,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1905,https://openalex.org/W4238899571,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1905,https://openalex.org/W4234175846,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1905,https://openalex.org/W4247893548,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1905,https://openalex.org/W4232011614,Distance Control by Electric Waves,Scientific American,0,"plausible logic, computation, circuit, or network prehistory",keep
1905,https://openalex.org/W3171386816,On the ability of distinguishing intensities of tones,Koninklijke Nederlandse Akademie van Wetenschappen Proceedings Series B Physical Sciences,0,no clear link to neural-network prehistory in title/source,ignore
1905,https://openalex.org/W569614181,The arithmetic of electrical measurements,Thomas Murby eBooks,0,no clear link to neural-network prehistory in title/source,ignore
1906,https://openalex.org/W1992106842,A Machine for Compounding Sine Curves,Science,4,"plausible logic, computation, circuit, or network prehistory",keep
1906,https://openalex.org/W1974519471,The rectification of alternating currents,The journal of the Institution of Electrical Engineers,2,no clear link to neural-network prehistory in title/source,ignore
1906,https://openalex.org/W4240206458,A self-exciting alternator,Proceedings of the American Institute of Electrical Engineers,1,no clear link to neural-network prehistory in title/source,ignore
1906,https://openalex.org/W4237636416,An Improved Pyknometer,Science,1,no clear link to neural-network prehistory in title/source,ignore
1906,https://openalex.org/W4239026241,Contemporary Electrical Science,Scientific American,1,no clear link to neural-network prehistory in title/source,ignore
1906,https://openalex.org/W4237031631,Contemporary Electrical Science,Scientific American,1,no clear link to neural-network prehistory in title/source,ignore
1906,https://openalex.org/W4243378667,Handbook of instructions for collectors /,Printed by order of the Trustees of the British Museum eBooks,1,no clear link to neural-network prehistory in title/source,ignore
1906,https://openalex.org/W4256396355,Improper Multiple Integrals,Transactions of the American Mathematical Society,1,no clear link to neural-network prehistory in title/source,ignore
1906,https://openalex.org/W4248616269,On Improper Multiple Integrals,Transactions of the American Mathematical Society,1,no clear link to neural-network prehistory in title/source,ignore
1906,https://openalex.org/W2093377564,A Machine for Compounding Sine Curves,Physical Review,0,"plausible logic, computation, circuit, or network prehistory",keep
1906,https://openalex.org/W2145854421,An Improved Pyknometer,Science,0,no clear link to neural-network prehistory in title/source,ignore
1906,https://openalex.org/W2007876233,An Introduction to the Study of Spectrum Analysis BY W. Marshall Watts,The Astrophysical Journal,0,no clear link to neural-network prehistory in title/source,ignore
1906,https://openalex.org/W4252341979,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1906,https://openalex.org/W4206530829,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1906,https://openalex.org/W4246233432,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1906,https://openalex.org/W4251520256,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1906,https://openalex.org/W4236479893,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1906,https://openalex.org/W4244878293,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1906,https://openalex.org/W4241547276,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1906,https://openalex.org/W4247755424,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1906,https://openalex.org/W4238316090,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1906,https://openalex.org/W4256569824,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1906,https://openalex.org/W4232922936,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1906,https://openalex.org/W4255920175,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1906,https://openalex.org/W4239067459,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1906,https://openalex.org/W4229922456,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1906,https://openalex.org/W4246695010,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1906,https://openalex.org/W4255001004,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1906,https://openalex.org/W4242759690,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1906,https://openalex.org/W4234751704,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1906,https://openalex.org/W4210856421,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1906,https://openalex.org/W4241431575,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1906,https://openalex.org/W4246609326,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1906,https://openalex.org/W4229837572,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1906,https://openalex.org/W4250044815,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1906,https://openalex.org/W4237506780,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1906,https://openalex.org/W4233525476,Contemporary Electrical Science,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1906,https://openalex.org/W4293260257,Difficult Extractions.,PubMed,0,no clear link to neural-network prehistory in title/source,ignore
1906,https://openalex.org/W4243369189,"Handbook of instructions for collectors,",,0,no clear link to neural-network prehistory in title/source,ignore
1907,https://openalex.org/W2796422654,On the Representation of Statistical Frequency by a Series,Journal Of The Royal Statistical Society,61,plausible statistical or probabilistic method prehistory,keep
1907,https://openalex.org/W2318064366,Studies in Absolute Pitch,The American Journal of Psychology,11,no clear link to neural-network prehistory in title/source,ignore
1907,https://openalex.org/W2094179052,An Investigation of the Influence of Electrical Fields upon Spectral Lines,The Astrophysical Journal,8,unrelated medicine/natural science/engineering,ignore
1907,https://openalex.org/W1965650089,ELECTRIC DISTURBANCES AND PERILS ON MOUNTAIN TOPS,Monthly Weather Review,1,no clear link to neural-network prehistory in title/source,ignore
1907,https://openalex.org/W2133398542,The electrolytic dissociation theory,Bulletin of Miscellaneous Information (Royal Gardens Kew),1,no clear link to neural-network prehistory in title/source,ignore
1907,https://openalex.org/W2044585462,Mesures des résistances et des coefficients de self-induction à l'aide du téléphone différentiel,Journal de Physique Théorique et Appliquée,0,no clear link to neural-network prehistory in title/source,ignore
1907,https://openalex.org/W2999820019,On a Method of Computing %phi;-φ' and ρ,Popular Astronomy,0,"plausible logic, computation, circuit, or network prehistory",keep
1907,https://openalex.org/W2067520397,Specific Heat of Solutions. V,Physical Review,0,no clear link to neural-network prehistory in title/source,ignore
1907,https://openalex.org/W2137707164,Sul luogo dei punti di contatto delle ipersuperficie di due dati sistemi lineari,Rendiconti del Circolo Matematico di Palermo Series 2,0,no clear link to neural-network prehistory in title/source,ignore
1907,https://openalex.org/W2065460101,Theory of the Alternate Current Generator,Proceedings of the Physical Society of London,0,no clear link to neural-network prehistory in title/source,ignore
1908,https://openalex.org/W4205142062,Electro-Analysis.,Journal of the American Chemical Society,1,no clear link to neural-network prehistory in title/source,ignore
1908,https://openalex.org/W2047850112,Sulla teoria della convergenza degli algoritmi di iterazione,Annali di Matematica Pura ed Applicata (1923 -),1,no clear link to neural-network prehistory in title/source,ignore
1908,https://openalex.org/W2318497746,A device to aid in the explanation of interference phenomena,American Journal of Science,0,no clear link to neural-network prehistory in title/source,ignore
1908,https://openalex.org/W3119354893,Control by Sound Waves,Scientific American,0,"plausible logic, computation, circuit, or network prehistory",keep
1908,https://openalex.org/W3118260130,Electrical Vision at a Distance,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1908,https://openalex.org/W2060444316,Review of Feeling Analysis and Experimentation.,Psychological Bulletin,0,no clear link to neural-network prehistory in title/source,ignore
1908,https://openalex.org/W2028449896,THE TECHNIQUE OF OPSONIC ESTIMATION.,The Lancet,0,no clear link to neural-network prehistory in title/source,ignore
1909,https://openalex.org/W1963989733,II. Electrical oscillations in coupled circuits,The London Edinburgh and Dublin Philosophical Magazine and Journal of Science,3,"plausible logic, computation, circuit, or network prehistory",keep
1909,https://openalex.org/W2314952935,The theory of coupled circuits,Bulletin of the Bureau of Standards,3,"plausible logic, computation, circuit, or network prehistory",keep
1909,https://openalex.org/W2480762692,On statistical methods.,"Longmans, Green and Co eBooks",1,plausible statistical or probabilistic method prehistory,keep
1909,https://openalex.org/W1994774858,The Energy Relations of Certain Detectors used in Wireless Telegraphy,Proceedings of the Physical Society of London,1,"plausible information, communication, or signalling prehistory",keep
1909,https://openalex.org/W4236208148,Definitions of Electrical Terms,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1909,https://openalex.org/W2475589701,Electrical View of Matter,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1909,https://openalex.org/W4231683649,Some Comments on the Reactions of Perichæta,Science,0,no clear link to neural-network prehistory in title/source,ignore
1909,https://openalex.org/W4246543196,Some Fallacies of Statistics.,The Lancet,0,plausible statistical or probabilistic method prehistory,keep
1909,https://openalex.org/W4254281809,THE INVESTIGATION OF THE ELECTRICAL PHENOMENA ACCOMPANYING THE ACTION OF THE HEART.,The Lancet,0,no clear link to neural-network prehistory in title/source,ignore
1909,https://openalex.org/W2415946092,The Need of Greater Uniformity and Accuracy in Statistical Expression.,PubMed,0,plausible statistical or probabilistic method prehistory,keep
1910,https://openalex.org/W3142977364,Disruptive Strength with Transient Voltages,Transactions of the American Institute of Electrical Engineers,11,no clear link to neural-network prehistory in title/source,ignore
1910,https://openalex.org/W2907036961,Book Review: Vector Analysis,Bulletin of the American Mathematical Society,0,no clear link to neural-network prehistory in title/source,ignore
1910,https://openalex.org/W4297975848,DELAYED RECOGNITION.,PubMed,0,"plausible nervous-system, psychology, or learning prehistory",keep
1910,https://openalex.org/W2038652127,Electrical Heat Penetration,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1910,https://openalex.org/W2017096231,Helmholtz' Explanation of Difference Tones.,Psychological Bulletin,0,no clear link to neural-network prehistory in title/source,ignore
1910,https://openalex.org/W4405879179,Spectre-Seers.,,0,no clear link to neural-network prehistory in title/source,ignore
1911,https://openalex.org/W2078326285,"On an Interpolation Formula Used in Calculating Temperature Coefficients for Velocity of Vital Activities, Together with a Note on the Velocity of Nerve Conduction in Man",Science,2,"plausible nervous-system, psychology, or learning prehistory",keep
1911,https://openalex.org/W2077061823,"A 2,000-Frequency Alternator",Proceedings of the Physical Society of London,0,no clear link to neural-network prehistory in title/source,ignore
1911,https://openalex.org/W1969240066,A Method of Measuring the Fluctuations in a Rapidly Varying Resistance,Physical Review,0,no clear link to neural-network prehistory in title/source,ignore
1911,https://openalex.org/W4255329972,A Method of Measuring the Fluctuations in a Rapidly Varying Resistance,Physical Review,0,no clear link to neural-network prehistory in title/source,ignore
1911,https://openalex.org/W2808875088,Ch: its pronunciation,Notes and Queries,0,no clear link to neural-network prehistory in title/source,ignore
1911,https://openalex.org/W3047736371,Dandelin's theorem and its applications. [II.],Časopis pro pěstování matematiky a fysiky,0,no clear link to neural-network prehistory in title/source,ignore
1911,https://openalex.org/W3217469067,Depreciation as Related to Electrical Properties,Transactions of the American Institute of Electrical Engineers,0,no clear link to neural-network prehistory in title/source,ignore
1911,https://openalex.org/W4246461531,Ingenious Electric Switch Mechanism,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1911,https://openalex.org/W2325554780,NOTE - An Improved Extractor,Journal of the American Chemical Society,0,no clear link to neural-network prehistory in title/source,ignore
1912,https://openalex.org/W2296814610,001: On an Absolute Criterion for Fitting Frequency Curves.,Adelaide Research & Scholarship (AR&S) (University of Adelaide),394,plausible statistical or probabilistic method prehistory,keep
1912,https://openalex.org/W2322180714,THE SPECIFIC HEATS OF CRYSTALLIZED SALTS.,Journal of the American Chemical Society,4,unrelated medicine/natural science/engineering,ignore
1912,https://openalex.org/W4229846676,Analytical Hybridizing,Journal of Heredity,1,no clear link to neural-network prehistory in title/source,ignore
1912,https://openalex.org/W2106386575,A COMPARISON OF SIMULTANEOUS POLYGRAPH AND MICROGRAPH TRACINGS,The Journal of Experimental Medicine,0,"plausible logic, computation, circuit, or network prehistory",keep
1912,https://openalex.org/W2057277039,AN EXPERIMENTAL DETERMINATION OF THE STRESSES IN A ROOF-TRUSS.,Minutes of the Proceedings of the Institution of Civil Engineers,0,no clear link to neural-network prehistory in title/source,ignore
1912,https://openalex.org/W2071543054,Book Review: Vector Analysis,Bulletin of the American Mathematical Society,0,no clear link to neural-network prehistory in title/source,ignore
1912,https://openalex.org/W2999483842,Electro-Analysis,Science,0,no clear link to neural-network prehistory in title/source,ignore
1912,https://openalex.org/W4250037418,Photo-Micrography,Transactions of the American Microscopical Society,0,"plausible logic, computation, circuit, or network prehistory",keep
1912,https://openalex.org/W4293296059,Query.,PubMed,0,no clear link to neural-network prehistory in title/source,ignore
1912,https://openalex.org/W3157943179,Translation series in line-spectra,Koninklijke Nederlandse Akademie van Wetenschappen Proceedings Series B Physical Sciences,0,no clear link to neural-network prehistory in title/source,ignore
1913,https://openalex.org/W4236439161,Micro-Radiography,Archives of The Roentgen Ray,2,"plausible logic, computation, circuit, or network prehistory",keep
1913,https://openalex.org/W2044945382,Obtaining the mean variation with the aid of a calculating machine.,Psychological Review,1,"plausible logic, computation, circuit, or network prehistory",keep
1913,https://openalex.org/W2001178512,On A Method of Comparing Inductance and Capacity,Physical Review,1,no clear link to neural-network prehistory in title/source,ignore
1913,https://openalex.org/W2796769962,The elements of the harmonic ratio,OpenBU/Boston University Institutional Repository (Boston University),1,no clear link to neural-network prehistory in title/source,ignore
1913,https://openalex.org/W3169487988,A New Form of clock Synchronization,Journal of the Royal Astronomical Society of Canada,0,"plausible information, communication, or signalling prehistory",keep
1913,https://openalex.org/W3087517493,A Theorem in Least Squares,Journal of the Royal Astronomical Society of Canada,0,plausible statistical or probabilistic method prehistory,keep
1913,https://openalex.org/W4236781770,The Control of Motor Traffic.,The Lancet,0,"plausible nervous-system, psychology, or learning prehistory",keep
1913,https://openalex.org/W4230362721,The Oliver-Sharpey Lectures ON THE ELECTRICAL ACTION OF THE HUMAN HEART.,The Lancet,0,no clear link to neural-network prehistory in title/source,ignore
1913,https://openalex.org/W4235845015,The Oliver-Sharpey Lectures ON THE ELECTRICAL ACTION OF THE HUMAN HEART.,The Lancet,0,no clear link to neural-network prehistory in title/source,ignore
1914,https://openalex.org/W2078168576,Constant Differences in Line-Spectra,The Astrophysical Journal,6,no clear link to neural-network prehistory in title/source,ignore
1914,https://openalex.org/W1994895156,Some standardizing tests on Stern's tone variator.,The Psychological Monographs,2,no clear link to neural-network prehistory in title/source,ignore
1914,https://openalex.org/W2415845861,Cinchona Derivatives Inquiry. First Communication.,The Indian Journal of Medical Research,0,"plausible information, communication, or signalling prehistory",keep
1914,https://openalex.org/W2037643126,"Rays of Positive Electricity and their Application to Chemical Analysis . By Sir J. J. Thomson. Longmans, Green &amp; Co. 1913. Pp. vi+132. Price, $1.40",Science,0,unrelated medicine/natural science/engineering,ignore
1914,https://openalex.org/W4255489391,Some Experiments with Different Systems of Lateral Control,Scientific American,0,"plausible logic, computation, circuit, or network prehistory",keep
1914,https://openalex.org/W2040013966,The Determination of Hardness in Natural Waters,Journal of Industrial & Engineering Chemistry,0,no clear link to neural-network prehistory in title/source,ignore
1914,https://openalex.org/W2797240279,The Semibreve Canto Fermo in Strict Counterpoint,The Musical Times,0,no clear link to neural-network prehistory in title/source,ignore
1915,https://openalex.org/W2325796032,THE MEASUREMENT OF THE FREEZING-POINT DEPRESSION OF DILUTE SOLUTIONS.,Journal of the American Chemical Society,33,unrelated medicine/natural science/engineering,ignore
1915,https://openalex.org/W2029650461,Origin of higher orders of combination tones.,Psychological Review,2,no clear link to neural-network prehistory in title/source,ignore
1915,https://openalex.org/W2010139888,A RAPID METHOD OF LOCALIZATION BY X RAYS,BMJ,0,no clear link to neural-network prehistory in title/source,ignore
1916,https://openalex.org/W2319344523,The Nature of Recognition Memory and of the Localization of Recognitions,The American Journal of Psychology,25,"plausible nervous-system, psychology, or learning prehistory",keep
1916,https://openalex.org/W2524617048,Observations of soil temperature with electrical resistance thermometers,Journal of the Meteorological Society of Japan Ser II,7,unrelated medicine/natural science/engineering,ignore
1916,https://openalex.org/W4297563124,Theory of Errors and Least Squares.,American Mathematical Monthly,5,plausible statistical or probabilistic method prehistory,keep
1916,https://openalex.org/W3093518020,Entropy and Probability,Koninklijke Nederlandse Akademie van Wetenschappen Proceedings Series B Physical Sciences,0,plausible statistical or probabilistic method prehistory,keep
1916,https://openalex.org/W2200446630,INCIPIENT SYSTEMIC DISTURBANCES AS SHOWN BY OCULAR SIGNS.,PubMed,0,no clear link to neural-network prehistory in title/source,ignore
1916,https://openalex.org/W2032102716,The Correction for Thermoelectric Current to be Applied to the Throw of a Ballistic Moving-Coil Galvanometer,Physical Review,0,no clear link to neural-network prehistory in title/source,ignore
1916,https://openalex.org/W2318094314,THE EXTRAPOLATION OF CONDUCTANCE VALUES.,Journal of the American Chemical Society,0,no clear link to neural-network prehistory in title/source,ignore
1916,https://openalex.org/W2000819665,The Interferences of Spectra Both Reversed and Inverted,Proceedings of the National Academy of Sciences,0,no clear link to neural-network prehistory in title/source,ignore
1917,https://openalex.org/W2487958739,Memory for Absolute Pitch.,Louis N Wilson eBooks,25,"plausible nervous-system, psychology, or learning prehistory",keep
1917,https://openalex.org/W2498462625,The Distribution of Time in Learning Small Amounts of Material.,Louis N Wilson eBooks,17,"plausible nervous-system, psychology, or learning prehistory",keep
1917,https://openalex.org/W2597468201,THE EFFECT OF TEMPERATURE CHANGES ON RHYTHM IN THE HUMAN ELECTROMYOGRAM,American Journal of Physiology-Legacy Content,14,no clear link to neural-network prehistory in title/source,ignore
1917,https://openalex.org/W2062617938,The shapes of group molecules forming the surfaces of liquids.,Journal of the Franklin Institute,7,no clear link to neural-network prehistory in title/source,ignore
1917,https://openalex.org/W2797514388,On Inductive Inference,The Journal of Philosophy Psychology and Scientific Methods,2,no clear link to neural-network prehistory in title/source,ignore
1917,https://openalex.org/W1492308378,Book Review: Theory of Errors and Least Squares,Bulletin of the American Mathematical Society,0,plausible statistical or probabilistic method prehistory,keep
1917,https://openalex.org/W2739783706,The Nora Bayes fox trot,York University Digital Library (York University),0,no clear link to neural-network prehistory in title/source,ignore
1918,https://openalex.org/W2023738753,Transmission of Activation in Passive Metals as a Model of the Protoplasmic or Nervous Type of Transmission,Science,51,"plausible nervous-system, psychology, or learning prehistory",keep
1918,https://openalex.org/W2320917859,A Checking Table for the Method of Constant Stimuli,The American Journal of Psychology,4,"plausible nervous-system, psychology, or learning prehistory",keep
1918,https://openalex.org/W1567696622,Book Review: Electric and Magnetic Measurements,Bulletin of the American Mathematical Society,1,no clear link to neural-network prehistory in title/source,ignore
1918,https://openalex.org/W1968719818,A Comparison of the Wave-form of the Telephone Current Produced by a Thermal Detector and by a Rectifier in Heterodyne Reception,Proceedings of the Physical Society of London,0,"plausible information, communication, or signalling prehistory",keep
1918,https://openalex.org/W2072512097,Book Review: The Method of Least Squares with Applications,Bulletin of the American Mathematical Society,0,plausible statistical or probabilistic method prehistory,keep
1918,https://openalex.org/W2110835073,"Further Discussion on ""Oscillating Audion Circuits'"" by L. A. Hazeltine",Proceedings of the Institute of Radio Engineers,0,"plausible logic, computation, circuit, or network prehistory",keep
1918,https://openalex.org/W1986393758,Technic of Credé Method,American Journal of Ophthalmology,0,no clear link to neural-network prehistory in title/source,ignore
1919,https://openalex.org/W2075219245,Sur les propriétés des circuits électriques dénués de résistance,Journal de Physique Théorique et Appliquée,3,"plausible logic, computation, circuit, or network prehistory",keep
1919,https://openalex.org/W3016521657,The Quantitative Relations of the Nervous System Determined by the Mechanism of the Neurone,KNAB,3,"plausible nervous-system, psychology, or learning prehistory",keep
1919,https://openalex.org/W1991269611,ADDITIONAL METEOROLOGICAL DATA NEEDED BY ENGINEERS,Monthly Weather Review,2,"plausible logic, computation, circuit, or network prehistory",keep
1919,https://openalex.org/W3007731004,On the Peripheral Sensitive Nervous System,KNAB,2,"plausible nervous-system, psychology, or learning prehistory",keep
1919,https://openalex.org/W1488518907,Book Review: Calcolo delle Probabilità,Bulletin of the American Mathematical Society,0,no clear link to neural-network prehistory in title/source,ignore
1919,https://openalex.org/W2043529534,THE ANALYSIS OF A COMPOSITE NEUROSIS.,The Lancet,0,"plausible nervous-system, psychology, or learning prehistory",keep
1919,https://openalex.org/W3010853964,The Limit of Sensitiveness in the String galvanometer,Koninklijke Nederlandse Akademie van Wetenschappen Proceedings Series B Physical Sciences,0,no clear link to neural-network prehistory in title/source,ignore
1919,https://openalex.org/W3087923500,The Phenomenon Electrical Supertension. II,Koninklijke Nederlandse Akademie van Wetenschappen Proceedings Series B Physical Sciences,0,no clear link to neural-network prehistory in title/source,ignore
1919,https://openalex.org/W2035523005,THERMOMETRY LAG AND A METHOD FOR ITS MEASUREMENT,School Science and Mathematics,0,no clear link to neural-network prehistory in title/source,ignore
1920,https://openalex.org/W2046350253,The backward elimination of errors in mental maze learning.,Journal of Experimental Psychology,29,"plausible nervous-system, psychology, or learning prehistory",keep
1920,https://openalex.org/W2551662624,Bayesian hierarchical models of cognition,Cambridge University Press eBooks,13,no clear link to neural-network prehistory in title/source,ignore
1920,https://openalex.org/W2039843738,INFLUENCE OF EXPOSURE ON TEMPERATURE OBSERVATIONS,Monthly Weather Review,5,no clear link to neural-network prehistory in title/source,ignore
1920,https://openalex.org/W2059377873,Book Review: Les Spectres numériques,Bulletin of the American Mathematical Society,2,no clear link to neural-network prehistory in title/source,ignore
1920,https://openalex.org/W2011051960,Long-Time Temperature Prediction,Science,2,plausible statistical or probabilistic method prehistory,keep
1920,https://openalex.org/W2033371007,Book Review: Matrices and Determinoids,Bulletin of the American Mathematical Society,1,no clear link to neural-network prehistory in title/source,ignore
1920,https://openalex.org/W4210537229,Calcolo delle Probabilita.,Journal Of The Royal Statistical Society,0,no clear link to neural-network prehistory in title/source,ignore
1920,https://openalex.org/W1973024526,Correction: The Effect of Air in Stream on the Coefficient of Heat Transmission,Journal of Industrial & Engineering Chemistry,0,"plausible information, communication, or signalling prehistory",keep
1920,https://openalex.org/W2033885408,Inherent Regulation of Continuous Current Circuits,Transactions of the American Institute of Electrical Engineers,0,"plausible logic, computation, circuit, or network prehistory",keep
1920,https://openalex.org/W4206251267,Inherent regulation of continuous current circuits,Journal of the American Institute of Electrical Engineers,0,"plausible logic, computation, circuit, or network prehistory",keep
1920,https://openalex.org/W2314654957,THE FORM OF THE CONDUCTANCE FUNCTION IN DILUTE SOLUTIONS.,Journal of the American Chemical Society,0,unrelated medicine/natural science/engineering,ignore
1921,https://openalex.org/W2325988526,Periodic Conjugate Nets,Annals of Mathematics,6,no clear link to neural-network prehistory in title/source,ignore
1921,https://openalex.org/W2077478692,The Galvanometric Measurement of Human Emotion1,Nature,5,no clear link to neural-network prehistory in title/source,ignore
1921,https://openalex.org/W2012714504,A Device for Determining Coefficients of Partial Correlation.,Psychological Review,2,plausible statistical or probabilistic method prehistory,keep
1921,https://openalex.org/W4246668569,Elements of Statistics.,The Economic Journal,0,plausible statistical or probabilistic method prehistory,keep
1921,https://openalex.org/W1551916189,On Professor Moritz' Method for Computing Frequency Percentages,Quarterly Publications of the American Statistical Association,0,"plausible logic, computation, circuit, or network prehistory",keep
1921,https://openalex.org/W4252716728,REQUEST FOR DATA ON VARIOUS AUTHORS,JAMA,0,no clear link to neural-network prehistory in title/source,ignore
1921,https://openalex.org/W2073387922,Review of Interdependence of Judgments within the Series for the Method of Constant Stimuli.,Psychological Bulletin,0,"plausible nervous-system, psychology, or learning prehistory",keep
1921,https://openalex.org/W1963678873,When More Voltage Means More Distance,Scientific American,0,no clear link to neural-network prehistory in title/source,ignore
1921,https://openalex.org/W3013116186,Work on Spectra,phae,0,no clear link to neural-network prehistory in title/source,ignore
1922,https://openalex.org/W4231003714,Practical Least Squares.,American Mathematical Monthly,8,plausible statistical or probabilistic method prehistory,keep
1922,https://openalex.org/W2075288284,The Usefulness of Analytic Abstracts,Science,4,no clear link to neural-network prehistory in title/source,ignore
1922,https://openalex.org/W2030392886,Improved Methods in Near Infra-Red Absorption Study,Science,2,no clear link to neural-network prehistory in title/source,ignore
1922,https://openalex.org/W2074514020,A New Visual Null Method for Conductivity Determinations,Physical Review,1,no clear link to neural-network prehistory in title/source,ignore
1922,https://openalex.org/W2010009201,DISCHARGE OF STATIC ELECTRICITY,Science,1,no clear link to neural-network prehistory in title/source,ignore
1922,https://openalex.org/W4297986499,Asaya-Neural.,PubMed,0,"plausible nervous-system, psychology, or learning prehistory",keep
1922,https://openalex.org/W4214766424,The Morphologic Aspect of Intelligence.,JAMA,0,"plausible logic, computation, circuit, or network prehistory",keep
1922,https://openalex.org/W2093360143,The Significance of the 1/2 Terms in Spectral Series Formulæ,Physical Review,0,no clear link to neural-network prehistory in title/source,ignore
1923,https://openalex.org/W2056814274,The Electrical Structure of Matter,Nature,6,no clear link to neural-network prehistory in title/source,ignore
1923,https://openalex.org/W2005871978,Frequency Arrays: Illustrating the Use of Logical Symbols in the Study of Statistical and Other Distributions,Journal of the American Statistical Association,4,"plausible logic, computation, circuit, or network prehistory",keep
1923,https://openalex.org/W4255814326,[Book Reviews],Nature,0,no clear link to neural-network prehistory in title/source,ignore
1923,https://openalex.org/W2024521462,A NOTE ON THE PROPAGATION OF HEAT IN WATER,Transactions of the Royal Society of South Africa,0,no clear link to neural-network prehistory in title/source,ignore
1923,https://openalex.org/W1497628673,DISCUSSION ON THE VAGUS AND SYMPATHETIC NERVES AND THEIR RELATION TO CLIMATE AND HYDROLOGY.,PubMed,0,"plausible nervous-system, psychology, or learning prehistory",keep
1923,https://openalex.org/W4253785708,Electrical Statistics at a Glance,Scientific American,0,plausible statistical or probabilistic method prehistory,keep
